Participant,Block Design Raw Score,Total Actions,Total Time Spent,Total Missed Interactions,Total Object Interactions,Time Spent S.D,Action Count S.D,Total Completed Steps,Apple Interactions - Add Apples,Add Sugar ,Add apples to pan,Add cinnamon,Stir bowl,Put pie in oven,Add butter,Add crust top,Add water,Error to Actions Ratio,Chopped,Left Hand Grab,Left Hand Released,Right Hand Grab,Right Hand Released,Left Hand Grab - Missed,Right Hand Grab - Missed,Object Count - Add sugar,Object Count - Add apples,Object Count - Add cinnamon,Object Count - Stir bowl,Object Count - Add bottom crust
C002,28,231.0,441.284316,30.0,201,50.34026055,24.61706725018234,18,42.0,70,68,7,7,12,8,23,22,0.12987012987012986,10,40,27,97,57,6,24,55,68,4,6,6
C004,30,106.0,267.08707100000004,10.0,96,29.58716198,11.430421928106831,18,28.0,28,36,2,6,7,9,5,2,0.09433962264150944,8,38,25,23,12,8,2,21,36,2,6,3
C005,46,224.0,420.203874,24.0,200,42.59581989,26.613052163450657,18,52.0,19,85,52,4,33,7,3,3,0.10714285714285714,22,97,61,30,14,15,9,16,79,48,4,2
C010,54,189.0,391.3818749999999,29.0,160,32.15761309,22.471395959388826,18,66.0,22,81,5,6,15,2,22,8,0.15343915343915343,14,35,23,74,43,8,21,6,79,5,3,2
C014,32,252.0,373.75941700000004,12.0,240,31.46662457,37.17917305550124,26,70.0,9,127,8,3,10,16,4,8,0.047619047619047616,20,41,30,88,73,6,6,6,126,6,3,13
C015,33,148.0,179.11653999999996,7.0,141,16.72814635,25.625626378153715,26,65.0,8,90,2,14,7,7,4,6,0.0472972972972973,21,13,11,61,42,0,7,5,90,2,13,2
C018,50,225.0,460.7752499999999,37.0,188,62.9824223,28.40902545447005,26,70.0,46,98,3,12,7,7,6,9,0.16444444444444445,24,69,25,71,36,12,25,31,94,2,7,20
C019,40,149.0,251.29178400000004,14.0,135,23.81926991,14.073831293316232,18,39.0,8,48,29,7,7,10,21,1,0.09395973154362416,15,39,33,41,21,4,10,7,48,24,5,5
C023,52,179.0,332.91090299999996,17.0,162,30.49492459,20.847498214850194,26,58.0,16,76,5,14,25,8,4,4,0.09497206703910614,18,19,14,80,48,3,14,13,75,5,12,5
C026,33,269.0,615.5619590000001,18.0,251,61.22031415,28.54947858145097,18,39.0,92,57,47,16,13,12,6,2,0.06691449814126393,16,2,2,141,108,0,18,81,57,44,16,7
C027,41,194.0,329.0120810000001,17.0,177,31.45501142,33.37445947808812,26,81.0,16,117,4,18,7,10,3,4,0.08762886597938144,15,21,13,84,61,6,11,13,113,4,13,4
C030,39,159.0,321.5370600000002,33.0,126,37.35335537,23.183458052515107,18,42.0,35,78,2,4,9,14,5,2,0.20754716981132076,10,37,22,62,28,9,24,9,75,2,4,3
C031,61,149.0,241.9958619999999,28.0,121,17.4182829,20.353690753097517,26,62.0,12,73,6,5,11,8,8,2,0.18791946308724833,18,0,0,86,45,0,28,5,70,4,3,3
